Feed Name,Feed ID,Feed Type,Active Status,Feed Description,Feed Scope Description,Assessment Status,Server Name,Schema Name,Table Name,Reporting Usages,Feed Source EONID,Feed Source Name,Feed Folder,Feed Arrival SLA,System EONID,Authorized Re-Distributer,Data Concept,Boundary,Authority Aligned,Entity Scope,Product Mapping,Feed Priority,Control Owner,Feed Instance,Sourcing Method,Feed Arrival ETA,Business Owner,Tech Owner,Primary IT Contact
MSWM Collateral,159,Feed,Active,"​In order to meet a commitment to FINRA to provide liquidity stress tests of MSSB client behavior by 2Q 2013, Treasury is requesting the development of a report to track and analyze MSWM Collateral.","Legal entity in scope: 5711 Morgan Stanley Smith Barney LLC
Daily, end of day books and records balances that tie to Regulatory reporting (i.e. FOCUS/15c3-3 Aqua) 
 
FA attributes: geographical region, FA number, Branch number 
 
Account attributes: free credit balance, standard margin debit balance, short market value, NPL/ECL debit balance in USD market value with underlying collateral",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_MSWM_COLLATERAL,,14358,Retail Banking Data Warehouse (RBDW),pbgdw_collateral,13:30 LNT,12659.0,,Collateral Value,GWM + Margin and Express Credit Loan,Yes,,TBD,,FSS-Data Services,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
MSWM Branch,160,Feed,Active,"​In order to meet a commitment to FINRA to provide liquidity stress tests of MSSB client behavior by 2Q 2013, Treasury is requesting the development of a report to track and analyze MSWM Branches.","Legal entity in scope: 5711 Morgan Stanley Smith Barney LLC
Daily, end of day books and records balances that tie to Regulatory reporting (i.e. FOCUS/15c3-3 Aqua) 
 
Daily historical data from July 2012 to present for all balances will also be required in order to develop accurate stress losses based on customer behavior history.
",Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_MSWM_BRANCH,Reference Feed (No Direct Reporting Usage),14358,Retail Banking Data Warehouse (RBDW),pbgdw_branch,13:30 LNT,12659.0,,​Branch,Div:GWM​,,,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Long Term Debt - STS,111,Feed,Active,"
This feed contains the Trade Date FID positions pulled via SOAP API calls from Ripple. Apart from the SOAP call, this feed also takes input from three files:
•FID Complexity Report (snmrep_V3_[T].csv) – contains product specific reference data like Underlier, Payoff, etc.
•Average Life file (Callables_Report_WithDirtyPV_[T].csv) – contains average life, expected maturity date, call probability, etc. for FID Callables.
•FID Optionality Schedule file (FID_OPTIONALITY_SCHEDULE_[T].csv) – contain optionality (call/put) schedule for FID Cusips.","

Entity Scope - ALL Entities Issuing Fx Linked Notes, Structured Loans, CLN and ILN
Product Scope - Fx Linked Notes, Structured Loans, Interest Linked Notes and CLN
Accounts - All FID Accounts",Proposed for Deco,nyqd_lmfr_ate,,,LCR - US;Unsecured Funding (Debt),10208,Ripple,sts_str_notes,10:40 AM LNT,12659.0,​N/A,"
Market Value; Trade Date Position","

Division: FID&1. FX Linked Notes, 2. Structured Loans, 3. Interest Linked Notes, 4. Credit Linked Notes",Yes,None,Deposits; Borrowings,High,FSS-Data Services,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
PB Global Assets,162,Feed,Active,"​This data provides Treasury with transparency into PB’s customer credits and debits and their underlying collateral. The credits are a potential outflow from the Firm, and debits are potential inflows.","
PB and IPB Clients
Used in UK OOFAEntity Scope
0201,0302Product Scope
PB Margin loans, Client shorts and free credit.Accounts
Define the account ranges that will be included in this feed.
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PB_GLOBAL_ASSETS,5G;6G;ALMM;LCR - US;LCR -UK;PRA110;RLST;OoFA;ILST;UK OoFA;RFM;SSMLT;Asset Encumbrance;NSFR U.S.,17040,PB Funding engine - Coffer,pb_global_assets_early,12:05 LNT,12659.0,,1) Actual Settlement Date Position 2) Collateral Position 3) Collateral Value,Prime Brokerage and International Prime Brokerage,Yes,None,Core Prime Brokerage,Critical,FSS-Data Services; FSS-Liquidity Reporting,http://wiki-na.ms.com/PBOPTIMA/LCRFeed,Pull,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Global Currency Deposits,146,Feed,Active,"
​Deposit held by Wealth Management clients in other currencies",All Global Wealth Management foreign currency in BDP deposit,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GLOBAL_CURRENCY_DEPOSITS,5G;6G;IRRBB;NSFR U.S.,14358,Retail Banking Data Warehouse (RBDW),bank_gcd,07:00 LNT,12659.0,,​Actual Settlment Date Account Balance,​Div:GWM+Product Type : BDP Bank deposit,Yes,MSPBNA,Deposits,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Long Term Debt - Subledger,147,Feed,Active,"​The feeds will contain all long term debt issued by the firm.  These would include Plain Vanilla bonds and Structured Notes that are linked to the performance of the underlying instrument/asset class. These would include Equity Linked notes, Credit Linked Notes, Commodity Linked Notes, Interest Rate Linked Notes and FX Linked Notes. 
The initial focus would be to get outstanding debt positions i.e., our external note population. This would later extend to the entire structure – Funding (FRN) note, Hedges, Inventory and Buyback. ",All Morgan Stanley entities that issue debt.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LONG_TERM_DEBT_SUBLEDGER,5G;6G;ALMM;IRRBB;LCR - US;LCR -UK;PRA110;ILST;RFM;SSMLT;NSFR U.S.,484,FDW ODESSA,ltd_subledger,14:00 LNT,12659.0,,"Actual Settlement Date Account Balance
Pending Contractual Settlement Account Balance",​Securitized Derivative : Structured Notes,Yes,None,Borrowings,High,FSS-Data Services; FSS-Liquidity Reporting,,Pull,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
CRE Loans,142,Feed,Active,Commercial Real Estate loans data requirements for the Bank contingency funding planning purposes. These loans are booked in Laser Conduit and a daily feed of this data is requested into Liquidity Hub to automate the reserve calculations by Corporate Treasury.,"The Legal Entity scope for the project includes all Morgan Stanley entities globally, including subsidiaries and branches where CRE loans are booked.",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_CRE_LOANS,5G;6G;IRRBB;NSFR U.S.,4029,RESI-ALP,cre_loans,04:30 LNT,12659.0,,Loan Facility,​Commercial Real Estate Loan,Yes,MSBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Intellimatch Cash,99,Feed,Active,The intellimatch cash breaks are aggregated according to the taps trading account and this aggregated sum is subtracted from the MX Amount received in the TAPS cash feed in LH.,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_IMATCH_CASH,ALMM;LCR -UK;Liquidity Snapshot;NSFR U.S.,6777,Intellimatch (Ops Control Apps),intellimatch_test,08:30 LNT,12659.0,,,,,MSBNA/MSPBNA,Cash,High,FSS-Liquidity Reporting,HK,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Libra Exchange Collateral,150,Feed,Active,"​The estimated value of securities or other assets pledged as collateral, where a discount (haircut) is commonly applied to the valuation based on the collateral value. Collateral value is typically based on the asset?s liquidation (fire sale) value and not on its book value or current market value.","Collateral in ISG
Used in UK OOFA
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_EXCHANGE_COLLATERAL_LIBRA,5G;6G;LCR - US;PRA110;RLST;OoFA;ILST - UK;UK OoFA;RFM;SSMLT;Asset Encumbrance;NSFR U.S.,5911,Libra,exchange_collateral_libra,06:01 LNT,12659.0,,"
1) Collateral Balance 2) Collateral Position 3) Collateral Value","OTC Cleared, Listed Derivative, Repo Cleared",Yes,,Derivatives - OTC; Derivatives - Listed,Critical,FSS-Data Services; FSS-Liquidity Reporting,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Counterparty Issued Commercial Paper,145,Feed,Active,​Counterparty Issued Commercial Paper,Commercial Paper,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_ISSUED_COMM_PAPER,Reference Feed (No Direct Reporting Usage),Manual,Manual,issued_comm_paper,03:30 LNT,12659.0,​Prism,​Product,​Commercial Paper,Yes,,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Bloomberg Data,167,Feed,Active,"
Liquid and Readily Marketable (LRM) metrics provided by Bloomberg, and required by regulators for identification of High Quality Liquid Assets (HQLA)","
For Equity, Fixed income, Collateralized Mortgage Obligation and Mortgage pools",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_BLOOMBERG_DATA,5G;6G;NSFR U.S.,3373,P2,/v/region/na/appl/corptsy/lmfr/data/prod/sourced/bloomberg_data,19:00 LNT,12659.0,   ,​Product,"Liquid and Readily Marketable (LRM) metrics provided by Bloomberg, and required by regulators for identification of High Quality Liquid Assets (HQLA)",Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/","Jessica Hainey, Sanjai Agarwal"
PB Trade Date Positions,166,Feed,Active,​Prime Brokerage market value by client and position,AllPB and IPB clients,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PB_TRADE_DATE_POSITIONS,5G;6G,17040,PB Funding engine - Coffer,pb_position,12:00 LNT,12659.0,   ,Market Value,​​Div: PB & IPB,Yes,,Core Prime Brokerage,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
PB Wires,164,Feed,Active,​Inflows and outflows of wires,PB and IPB Clients,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PB_WIRES,5G;6G,17040,PB Funding engine - Coffer,pb_wires,08:30 LNT,12659.0,   ,​Contractual Transfers,Div: PB & IPB,Yes,,Core Prime Brokerage,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
PB Margin Excess,165,Feed,Active,"​House excess (limits, leverage) in amount",PB and IPB Clients,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PB_MARGIN_EXCESS,5G;6G;NSFR U.S.,17040,PB Funding engine - Coffer,pb_margin_excess,14:31 LNT,12659.0,   ,Collateral Balance,"
(margin term from MS not regulators excess+Division PB and IPB)",Yes,,Core Prime Brokerage,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Client Assets,172,Feed,Active,"This document covers the 5G data requirements for WM Client Assets feed.
Morgan Stanley has been requested by the Federal Reserve Bank to submit liquidity dataon a daily basis based on the 5G template provided which includes extensive reporting requirements covering the range of products and resulting cash flows traded by the firm.
The purpose of creating the data feeds is to enable to collect data in the Firm's Liquidity Hub for the daily reports​


","1.1       Entity Scope
All Morgan Stanley legal entities
 
1.2       Product scope
Data is required on a trade date (t+1) basis.
 
Feed should contain total amount for the securities and assets held in the trading account by a particular Counterparty Type or Client Type. The data concerns both the short trades as well as the long trades. The data is only granulized till the Counterparty Type and does not include Client Account level details
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_CLIENT_ASSETS,5G;6G,24098,BaselHub,wm_client_assets,"MS(T+1) : 00:30 AM EST ( Tuesday to Friday) , Sat 13PM EST   ETRADE (T+1 ) : 11:30 AM EST ( Tuesday to Friday) , Monday 11:30AM EST  ",12659.0,​Margin(MGS),​Trade Date Account Balance,Div:GWM​,Yes,None,TBD,High,FSS-Data Services; FSS-Liquidity Reporting,"MS(T+1) , ETRADE (T+1 )  ",Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Wires,171,Feed,Active,​Feed should contain total amount of the inflows and outflows done by the Wealth management for the trade date.,"

All Morgan Stanley legal entities. Data is required on a trade date (t+1) basis for Wealth Management US.",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_WIRES,5G;6G,24098,BaselHub,wm_wires,05:45 LNT,12659.0,   ,​Trade Date Account Balance,Div:GWM​,Yes,None,All Products,High,FSS-Data Services,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Free Credits,174,Feed,Active,​Feed should contain total amount available in the margin account of the counterparty. The amount is grouped upon Counterparty type instead of having granular details for each Counterparty Account.  The amount here differs from the Excess Margin in the WM margin feed as the former refers to cash lying idle in the margin account (for eg. Amount received after a trade is settled) while the latter is computed on the basis of underlying asset fluctuations.,"

•Entity Scope: All Morgan Stanley legal entities
•Product Scope:Data is required on a trade date (t+1) basis for Wealth Management US",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_FREE_CREDITS,5G;6G;LCR - US;Radar Reports - Bank Treasury;NSFR U.S.,24098,BaselHub,wm_free_credits,"MS(T+1) : 00:30 AM EST ( Tuesday to Friday) , Sat 13PM EST  ETRADE (T+1 ) : 11:30 AM EST ( Tuesday to Friday) , Monday 11:30AM EST",12659.0,   ,ActualSettlement Date Account Balance,"Div:GWM, Aggregated Counterparty​ Type",Yes,None,Payables & Receivables,High,FSS-Data Services; FSS-Liquidity Reporting,"MS(T+1) ,  ETRADE (T+1 ) ",Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Margin,173,Feed,Active,​Feed should contain total amount held in the margin account by a particular Counterparty Type or Client Type. The data is only granulized till the Counterparty Type and does not include Client Account level details.,"
•Entity Scope: All Morgan Stanley legal entities
•Product Scope:Data is required on a trade date (t+1) basis for Wealth Management",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_MARGIN,5G;6G;NSFR U.S.,24098,BaselHub,wm_margin,"MS(T+1) : 00:30 AM EST ( Tuesday to Friday) , Sat 13PM EST  ETRADE (T+1 ) : 11:30 AM EST ( Tuesday to Friday) , Monday 11:30AM EST",12659.0,   ,Trade Date Account Balance,Div:GWM​,Yes,None,Core Prime Brokerage,High,FSS-Data Services,"MS(T+1) , ETRADE (T+1 )",Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Taps Business Definition,179,Feed,Active,"​This feed will contain the following fields: Legal Entity Code, TAPS Account, Business Definitions, Account Status.  Derivative Collateral and Libra Exchange Collateral Feeds will be enriched with the data in the fields referenced above.",,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_TAPS_ACCT_BUSINESS_DEFN,5G;6G;Reference Feed (No Direct Reporting Usage);NSFR U.S.,3258,Datalink (SRD),,08:00:00,12659.0,​Via A2,​Firm Account,Div: Asset Management; GWM: ISG,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Long Term Debt ELN,155,Feed,Active,"


This feed contains the Trade Date ELN (Equity Linked Notes) Positions. GRS delivers a file containing the TD Positions in one of the Hub Prod locations.

The attribute day1 average lifetime represents the average life for short dated notes. We will need to source this attribute into Hub from GRS feed file and integrate it into USFM report for treasury consumption
","

Entity Scope: All ELN Entities
Product Scope: Equity Linked Notes
Accounts: All ELN Accounts",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LONG_TERM_DEBT_ELN,5G;6G;IRRBB;LCR - US;LCR -UK;Unsecured Funding (Debt),14845,GRS,equity_notes/equity_notes_global,08:00:00,12659.0,​N/A,Trade Date Position,​Equity Linked Notes,Yes,None,Borrowings,High,FSS-Data Services,,Push,08:00 AM,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Unencumbered Asset Location,192,Feed,Active,​This feed provides Depository Information for Assets at Account level and will be used only for informational purposes in Cube.,All Unencumbered Asset location in ISG,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_UNENCUMBERED_ASSET_LOC,RFM,7146,Global Inventory Manager,unencumbered_asset_location,11:00 LNT,12659.0,,​Unencumbered Position,​Div:ISG,Yes,MSBNA/MSPBNA,Inventory - Investment Securities; Inventory - Trading Securities,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
GWM Loans - PLA/LAL,187,Feed,Active,"
This document covers the Liquidity data requirements for GWM Loans spanning Portfolio Loan Account (PLA) products to address the needs of FRB 4G liquidity reporting. GWM Loans Information is needed for 5G, IRRBB, LCR_US, NSFR reporting.
This information is available from Retail BankingDatawarehouse.(Push)
Upstream Job: PRBGD@RBGLAL@EXT@LIQHUBCOLL ","

All Morgan Stanley entities can be in-scope. The requirement is to report the committed, funded, unfunded and unfunded committed portions of each outstanding loan along with their maturity dates for the following type of loans:
•PLA Letter of Credit
•PLA Line of Credit
•PLA Term Loan
•LAL Letter of Credit
•LAL Line of Credit
•LAL Term Loan ",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GWM_PLA_COLLATERAL,5G;6G;IRRBB;LCR - US;ILST;NSFR U.S.,14358,Retail Banking Data Warehouse (RBDW),gwm_pla_coll,7:40 EST,12659.0,,"

1) Actual Settlement Date Account Balance 2) Loan Facility",​Div:GWM + Product Type : PLA/LAL,Yes,MSBNA/MSPBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Margin Loans,200,Feed,Active,"​Wealth Management margin Loans feed​
", Wealth Management US  ,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_MARGIN_LOANS,5G;6G;LCR - US;Radar Reports - Treasury/MRA Reporting;OoFA;RFM;NSFR U.S.,24098,BaselHub,wm_mgn_npl_loans,"MS(T+1) : 3 AM EST ( Tuesday to Friday) , Sat 13PM EST  ETRADE (T+1 ) : 11:30 AM EST ( Tuesday to Friday) , Monday 11:30AM EST",12659.0,   ,"

1) ActualSettlement Date Account Balance 2)Trade Date Account Balance","1)Loans 2) Collateral
​Div:GWM",Yes,None,Payables & Receivables,Critical,FSS-Data Services; FSS-Liquidity Reporting,"MS(T+1) ,   ETRADE (T+1 ) ",Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
WM Shorts Longs,203,Feed,Active,​Shorts in Wealth Management,All client Shorts for Wealth Management (US),Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_WM_SHORTS_LONGS,5G;6G;LCR - US;OoFA;RFM;NSFR U.S.,24098,BaselHub,wm_firm_cust_shorts,"MS(T+1) : 00:30 AM EST ( Tuesday to Friday) , Sat 13PM EST  ETRADE (T+1 ) : 11:30 AM EST ( Tuesday to Friday) , Monday 11:30AM EST",12659.0,   ,​Trade Date Account Balance (Long/Short Positions),"
Div:GWM​;(Long/Short Positions)",Yes,None,Inventory - Investment Securities,Critical,FSS-Data Services; FSS-Liquidity Reporting,"MS , ETRADE ",Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Agent Lender Disclosure,151,Feed,Active,"The ""Agent Lender Disclosure"" feed contains actual counterparty ID and the ALD ratio for all repo and stock loan population (at a trade id level) which have multiple disclosures.Thisis an existing feed. We are currently sourcing 2 columns - client code and legal entity in the feed files, which are not loaded in Liquidity Hub. As part of this feed change, these 2 extra columns will be loaded in Liquidity Hub, for better coupling with repo and stock loan BRM feeds.
","
This feed contains the Agent Lender Disclosure data for all repo and stock loan transactions, booked in Morgan Stanley entities globally, with multiple disclosures.
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_ALD_DATA,5G;6G;ILST;NSFR U.S.,17823,BRM Metrics and Reporting,brm_ald_data,13:00 LNT,12659.0,,​Allocated Trade Contract,"Repurchase Agreement and Securities Lending + Party ID

​",Yes,MSBNA/MSPBNA,Secured Funding Transactions (SFT),Medium,FSS-Data Services,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Interest Payable-Receivable,207,Feed,Active,​The income and expenses generated from coupon and interest-bearing instruments held by the Firm.,Interest payables & receivables,Assessed,nyqd_lmfr_ate,LIQUIDITY,BUF_INTEREST,5G;6G;LCR - US,52130,Finance Data Warehouse,interest_pybl_rcvble,10:30 LNT,12659.0,,Pending Contractual Settlement Account Balance,​Interest receivable/payable,Yes,MSBNA/MSPBNA,Payables & Receivables,High,FSS-Liquidity Reporting,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
CRE Loans Collateral,181,Feed,Active,​Commercial Real Estate loans collateral,Commercial Real Estate loan s collateralfor ISG,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_CRE_LOANS_AMOS,5G;6G;LCR - US,35002,CREL-AMOS,crelfeed,01:35 LNT,12659.0,,"
Collateral Value",Commercial Real Estate (CRE) Loan,Yes,MSBNA,Loans,High,FSS-Data Services,,Push,,Doyle Hunt,crel-strat,
UK Client Money Protection-Aqua,184,Feed,Active,"
Extracts the Liquidity Hub Allocation Report from AquaCM. This consists of calculations done in AQUA using both Normal and Alternative Approach. In AQUA, Normal approach is used when client monies are paid into individual bank accounts. Alternative approach is used when client monies are paid into a Firm account and then transferred into client accounts.",ISG and WM UK regulatory,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_UK_CMP_NEW,5G;6G;ALMM;LCR - US;LCR -UK;PRA110;ILST;ILST - UK;RFM;SSMLT,7705,AQUA,uk_cmp1,21:00 LNT,12659.0,,Restricted Position,​Cash Lockup,Yes,None,Cash,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Dividends Payable-Receivable,208,Feed,Active,"​The gains and losses generated from dividends, both realized and accrued, as a result of holding dividend-paying securities. ",Dividends payable and receivable for MS,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_DIVIDENDS,5G;6G,52310,WISE Warehouse,dividends_pybl_rcvble,08:00 LNT,12659.0,,Pending Contractual Settlement Account Balance,​Dividend payable receivable,Yes,,Payables & Receivables,High,FSS-Data Services; FSS-Liquidity Reporting,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
GWM Loans - TL,186,Feed,Active,"
​This document covers the Liquidity Hub data requirements for Tailor Lending (TL). Tailored Lending is a non-purpose and purpose loan (offered on a limited basis) lending product offered by MSPBNA. Tailored lending facilities’ tenors generally are 364 days with maturities up to 10 years, including both fixed and floating rate options.  ","
Feed Scope:Tailored lending business
Entity: Tailored lending is offered by MSPBNA, liquidity requirements will be included in Firm reporting too.
Product Scope:Feed should contain all Tailored lending business data specific in this document.
                                 ",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GWM_TAILORED_LENDING_COLL,5G;6G;IRRBB;ILST;NSFR U.S.,14358,Retail Banking Data Warehouse (RBDW),gwm_tl_coll,5:30 EST,12659.0,,"

1) Actual Settlement Date Account Balance 2) Loan Facility",​Div:GWM + Product Type: Tailored Lending,Yes,MSPBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Unsecured Debt Manual,191,Manual,Active,,,Not in Scope,nyqd_lmfr_ate,LIQUIDITY,HUB_5G_UNSECURED_DEBT_MANUAL,5G;6G;ILST;NSFR U.S.,Manual,Manual,5gunsecdebtmanual,09:00 LNT,12659.0,,,,,,Deposits; Borrowings,Medium,FSS-Data Services; FSS-Liquidity Reporting,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Bloomberg Central Bank Haircut,152,Feed,Active,"
​Among major central banks, there are no consistent standards for securities accepted as eligible collateral. Some central banks provide detailed lists of eligible securities while others offer basic guidelines. In addition, central banks have different haircut requirements. All of these details may change over time.",BOE and ECB,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_CB_HAIRCUT,ALMM,3372,FID1,bb_cb_haircut_data,19:32 LNT,12659.0,​Treasury Liquidity Hub (Authoritative Source),​Product,​Bank of England and ECB Haircut,Yes,,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Brokered CD,108,Feed,Active,Liquidity data requirements for Brokered CDs to address the needs of FRB 4G liquidity reporting. The key requirement is to capture the deposit originated by broker sales force and financial advisors.,All Morgan Stanley entities globally including their subsidiaries and branches.  ,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_BROKERED_CD,5G;6G;LCR - US;ILST;NSFR U.S.,3750,Big Mac,brokered_cds,07:30 LNT,12659.0,,​Trade Date Position,"
Brokered CDs for  ISG",Yes,MSBNA/MSPBNA,Deposits,High,FSS-Data Services; FSS-Liquidity Reporting,BCDUT,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Derivatives MTM HLBA,168,Feed,Active,"

Process for LCR raw data extract to liquidity hub","ISG OTC derivatives
Entity Scope - All 5G and UK Entities",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_MTM_IMPACT,5G;6G;LCR - US;LCR -UK;PRA110;SSMLT,3759,E*GTS,egtsmtmhistoricalimpact,02:00 LNT (T+2),12659.0,,1)​ Collateral Movement 2) Collateral Rule,"Div: ISG, OTC Derivatives",Yes,MSBNA/MSPBNA,Derivatives - OTC; Derivatives - Listed,High,FSS-Data Services,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
