Name,Description
Derivatives Positions End Date,Date when a specific derivatives position is scheduled to terminate or expire
Derivatives Positions Timestamp,Timestamp indicating when a specific derivatives position was entered into the system
Derivatives Exchange Identifier,Unique identifier for the exchange where the derivative position is held
Derivatives Position Flag,A flag indicating the status of a derivatives position in the system
Derivatives Trading Flow Type,Indicates whether a derivatives position is a flow position or not
Market Value of Derivatives Positions,"The current market value of all open derivatives positions, expressed in monetary units"
Notional Value,"The nominal or face value of a financial instrument, used for calculating contractual payments but not representing the market value of the instrument"
Over-the-Counter (OTC) Derivatives,Indicates whether a derivative position is traded over-the-counter or listed on an exchange
Derivatives Positions Price,The current market price of a derivative contract held by the financial institution
Derivative Product Type,Type of derivative instrument held in the portfolio
Derivatives Positions Unique Identifier,Unique identifier assigned to each derivatives position in the system
Derivatives Positions Start Date,Date when the derivatives position was initiated
Unique Identifier for Derivatives Positions,A unique code assigned to each derivatives position in the system
Initial Margin Requirement,The initial margin required to cover potential losses on derivative positions
Downgrade Trigger Threshold,The threshold value that triggers a downgrade action in the system
Triggered Currency,Currency in which the downgrade trigger is set for a specific cost object
Downgrade Trigger,A condition that triggers a downgrade action in the system
Downgrade Trigger Type,The type of downgrade trigger that activates a specific action in the system
Trigger Timestamps,Timestamps indicating when a downgrade trigger event occurred or will occur
Downgrade Exception Sign-off,A flag indicating if an exception has been signed off for downgrading a client's account status
Downgrade Trigger Feed,The feed containing information about downgrade triggers for financial instruments
Row Identifier,Unique identifier for each row in the Downgrade Triggers table
Downgrade Trigger Identifier,Unique identifier for each downgrade trigger in the system
Downgrade Trigger Source,Identifies the source of a downgrade trigger in the system
Downgrade Trigger Value,The numerical value that triggers a downgrade action in the system
Business Segment,The specific division or unit within a company that the financing transaction is related to
Financing Category,The type of financing provided by the EBS (Electronic Banking System)
Contingency Plan,A predefined course of action to address potential risks or unforeseen events
Unsecured Financing Transaction Timestamps,Timestamps indicating when unsecured financing transactions occurred
Loan Maturity Date,The date on which the loan is scheduled to be fully repaid
Unsecured Financing Identifier,Unique identifier for each unsecured financing transaction in the system
EBS Unsecured Financing Run Identifier,Unique identifier for each run of the EBS Unsecured Financing process
Subcategory of Unsecured Financing,The specific type of unsecured financing within the EBS Unsecured Financing category
Unsecured Financing Table Identifier,Unique identifier for the unsecured financing records in the system
Unsecured Financing Amount,The amount of unsecured financing provided by the financial institution
Counterparty Name,The name of the counterparty involved in a financial transaction
Country Code,Unique alphanumeric identifier for each country within the European Economic Area (EEA)
Country Rating,Rating assigned to each country in the European Economic Area (EEA)
Default State Setting,Indicates whether a specific state is set as the default for new records
EEA Membership Status,Indicates whether a state is a member of the European Economic Area (EEA)
Entry Timestamp,Records the date and time when a record was created or updated in the EEA States table
Country Credit Rating,Credit rating assigned by Fitch to a specific country
EEA State Identifier,Unique identifier for each EEA state in the system
Entity Identifier,Unique identifier for each entity in the system
Adjusted Margin Percentage for USD Call,The adjusted margin percentage in USD for call options on the collateral
Excess Margin Allocation,Excess margin allocation for collateralized trades in USD
Calculation Type,Type of calculation applied to the sleeper collateral CUSIP
Cash Flow,The amount of cash generated or used by a financial instrument or investment
Counterparty Type Identifier,Unique identifier for the counterparty involved in a financial transaction
5G Collateral Identifier,Unique identifier for 5G collateral in the EGTS Sleeper system
Collateral Identifier,Unique identifier for collateral associated with a specific sleeper account
Credit Exposure Threshold,The maximum credit exposure allowed for a specific collateral
Average Age of Directly Observed Assets,"The average age of assets whose age has been directly observed, calculated as a weighted average"
Direct Observation Weighted Count,A weighted count based on direct observations in the EGTS Sleeper Collateral Cusip dataset
Settlement Time,Time when the transaction is settled or completed
Average Age of Direct Observations,The average age of direct observations for a specific collateral
Execution Direct Observation Weighted Count,A measure of the weighted count of direct observations in the execution process
Foreign Exchange Rate,Rate at which one currency is exchanged for another in the context of financial transactions
High Quality Liquid Asset (HQLA) 30-Day Price Drop,The potential price drop for a High Quality Liquid Asset over a 30-day period
HQLA 30 Day PX Drop Anls Start Date,Date when the 30-day period starts for the haircut drop analysis on the securities
High-Quality Liquid Asset Eligibility,Indicates whether a specific financial instrument is considered a High-Quality Liquid Asset (HQLA) and meets the eligibility criteria for the 5G Liquidity Coverage Ratio (LCR)
High Quality Liquid Asset (HQLA) Eligibility for Australian Sovereign Bonds,Indicates whether a specific Australian sovereign bond is considered a High Quality Liquid Asset (HQLA) and its designated description.
High Quality Liquid Asset (HQLA) Basel III Eligibility,Indicates whether a specific financial instrument is considered a High Quality Liquid Asset under the Basel III regulatory framework
High Quality Liquid Asset (HQLA) Eligibility for Cash Account Designation,Indicates whether a specific cash account is eligible for designation as a High Quality Liquid Asset (HQLA)
High Quality Liquid Asset Eligibility Status,Indicates whether a specific financial instrument is considered a High Quality Liquid Asset (HQLA) and meets the eligibility criteria for designation as a sleeping collateral asset in the European market.
High Quality Liquid Asset Japan Eligibility Designation,Specifies whether a financial asset meets the eligibility criteria for being considered a High Quality Liquid Asset (HQLA) in Japan
High Quality Liquid Asset (HQLA) Index Flag,Indicates whether a specific asset is classified as a High Quality Liquid Asset
High Quality Liquid Asset (HQLA) Maximum 30-Day PX Drop Date,The maximum date by which the value of High Quality Liquid Asset (HQLA) can drop by 30% without causing a collateral shortfall
High Quality Liquid Asset US Eligibility Designation,Indicates whether a US-based asset is eligible to be considered as a High Quality Liquid Asset (HQLA)
Unique Identifier for Sleeper Collateral,A unique alphanumeric identifier assigned to each sleeper collateral in the system
Exposure Value,The value of exposure related to the collateralized sleeper deals in the EGTS (Euro Government & Treasury Securities) market
Indicative Directional Observation Weighted Average Age,A weighted average age of directional observations for a specific collateral
Indicative Directional Observation Weighted Threshold Counter,A counter that tracks the weighted threshold of directional observations in the system
Issue Currency,Currency in which the financial instrument is issued
Last Agreed Margin Call Date,The last date on which a margin call was agreed upon for the collateral
Long or Short Position Flag,Indicates whether a financial position is long (ownership) or short (borrowed and sold) for a specific asset
Margin Amount,The amount of margin required to be maintained for a specific collateral
Margin Type,Type of margin applied to a collateralized financial transaction
Matured Trade Exposure,The total exposure of a trade that has reached its maturity date
Sleeper Account Movement,The movement or change in the value of sleeper accounts in the EGTS system
Sleeper EGTS Collateral Movement,Monitors the movement of collateral in the Sleeper EGTS (Electronic Gross Treasury System)
EGTS Sleeper Collateral CUSIP Weight,The weight assigned to the EGTS Sleeper Collateral CUSIP in the calculation of the Morgan Stanley Master Trust Account (MS MTA)
Threshold Value,A predefined value used as a threshold for monitoring purposes
Mark-to-Market Value,"The current market value of a financial instrument, used for calculating profit or loss"
Exceeding Threshold,Indicates whether the mark-to-market (MTM) value of a collateral has dropped below a specified threshold
New Trade Exposure,The exposure to new trades in the EGTS Sleeper Collateral Cusip database
Previous Less Threshold,"The value that the threshold was previously less than, indicating a change in the threshold"
Risk Rating Key,Unique identifier for the risk rating assigned to a collateral
Security Pool,"A group of securities that are combined for a specific purpose, such as collateral or investment"
Security Pool Identifier,Unique identifier for a group of securities within the system
Street CUSIP,Unique identifier for a security issued by a specific organization or entity
Unique Identifier for EGTS Sleeper Collateral Cusip Table,A unique 166-digit integer assigned to each EGTS Sleeper Collateral Cusip table to distinguish it from other tables
Unique Identifier for Sleeper Collateral Cusip Table,A unique 167-bit identifier assigned to each sleeper collateral CUSIP record in the database
Basel III Standardized Risk-Weighted Assets,"The amount of risk-weighted assets calculated using the Basel III regulatory framework, which is used to determine the minimum capital requirements for a financial institution"
Unique Asset Identifier,A unique alphanumeric code assigned to each eligible security in the Bank of England (BOE) database
Security Identifier,"Unique identifier for financial securities, used for tracking and reporting purposes"
BOE Default Set Flag,Indicates whether a security is part of the default set for the Bank of England (BOE)
Security Eligibility Timestamps,Records the date and time when a security was first deemed eligible for inclusion in the system
Unique Identifier for Eligible Securities,A unique alphanumeric code assigned to each eligible security in the Bank of England database
Security Identifiers,Unique alphanumeric codes used to identify securities in the system
Eligible Securities Load Time,Time taken to load eligible securities data from the Bank of England
Unique Identifier for BOE Securities,A unique identifier assigned to each security in the Bank of England's eligible securities list
Eligible Securities - CUSIP,Unique identifier for eligible securities in the European Central Bank
ECB Eligibility Flag,Indicates whether a security is eligible for the European Central Bank (ECB) monetary policy operations
Unique Identifier for ECB Securities,A unique identifier assigned to each security eligible for the European Central Bank (ECB) operations
Loan Default Setting,Indicates whether a loan is marked as default or not
Loan Expiration Date,The date when the employee loan expires or is scheduled to be fully repaid
Employee Loan Timestamps,Records the date and time when an employee loan was created or updated
Employee Loan Amount,The amount of money an employee has borrowed through the employee loan program
Unique Loan Identifier,A unique alphanumeric identifier assigned to each employee loan
Employee Loan Record Identifier,Unique identifier for each employee loan record in the system
Employee Loan Commencement Date,The date when an employee loan was initiated
Unique Identifier for Employee Loans,A unique code assigned to each employee loan record in the system
Employee Loan Term Year,The year in which the employee loan term begins or ends
Collateral Account Number,Unique identifier for the collateral account associated with equity swap transactions
Equity Swap Bridge Collateral Timestamp,The date and time when the equity swap bridge collateral was entered into the system
Party Placing Order,Unique identifier for the party placing the order in the equity swap bridge collateral system
P_I_FLAG,Indicator of the type of transaction for equity swap bridge collateral
Equity Swap Bridge Collateral Quantity,The amount of collateral associated with equity swap bridge transactions
Rehypothecation Enablement,Indicates whether the rehypothecation process is enabled for the equity swap bridge collateral
Equity Swap Bridge Collateral Identifier,Unique identifier for each equity swap bridge collateral record
Collateral Source,The origin or type of collateral used for equity swap transactions
FX Cash Flows Forward,Foreign exchange cash flow positions for forward contracts
Forward FX Cash Flow End Date,The date when the forward foreign exchange cash flow settles or matures
FX Cashflows Timestamps,Timestamps indicating when FX cashflow transactions are entered into the system
Data Feed Identifier,Unique identifier for the data feed used in the FX Cashflows system
FX Cashflow Forward Flag,Indicates whether a cash flow is a forward transaction in the foreign exchange market
FX Cashflow Fixing Date,The date on which the foreign exchange cash flow is fixed
Mark-to-Market Code,A unique identifier for mark-to-market valuation of financial instruments
Forward Cash Flow Maturity Date,Date on which a forward cash flow contract is scheduled to be settled or mature
FX Cashflow Run Identifier,Unique identifier for each Foreign Exchange cashflow run
Sell Rate,Rate at which a financial instrument is sold in a foreign exchange transaction
FX Cashflows Forward Start Date,The date when the foreign exchange cash flow starts in the FX Cashflows Forward transaction
Transaction Status,"Indicates the status of a foreign exchange transaction, such as pending, completed, or failed"
Trade Delivery Type,Specifies the type of trade delivery for FX cashflows
FX Cashflows Spot - Buy Amount,The amount of foreign currency bought in a spot transaction
FX Cashflows Timestamp,The exact time when a transaction occurred in the FX Cashflows market
FX Cashflows Spot Fill Forward Flag,Indicates whether the FX cashflow spot transaction has a fill forward flag or not
FX Cashflows Spot Job Identifier,Unique identifier for each FX cashflows spot job run in the system
Sell Price,The price at which a financial instrument is sold in the foreign exchange (FX) cash flow market
FX Cashflows Start Date,The date when the foreign exchange cash flow starts
Exchange Rate,The ratio of the value of one currency to another currency in a foreign exchange market
Default FX Rate Set,Indicates whether the FX rate is set as the default rate for a specific currency pair
FX Rate Timestamps,Timestamps indicating when the exchange rates were entered into the system
Currency Pair,The currency being converted in a foreign exchange rate
Currency Conversion Indicator,Indicates whether the currency pair is for multiplication (M) or division (D) in currency conversion calculations
FX Rate Unique Identifier,Unique identifier for each foreign exchange rate data point
Currency Conversion,The target currency for the exchange rate
Cash Bond Indicator,A flag indicating if a security is a cash bond
Unique Identifier for Securities,"A unique alphanumeric identifier for securities, used for identification and reporting purposes"
Department Code,Unique identifier for each department in the organization
Failure Timestamps,Records the date and time when a system failure occurred
Exception Indication,A flag indicating if a row in the data represents an exception or an error condition
Exception Handling,Indicates whether an exception occurred during the processing of a data record
Failure Workgroup,Group of people responsible for addressing system failures
Failure Event,An event indicating a failure in the system or process
Financial Side Failures,Financial side failures encountered during the processing of financial data
Payment Flow Direction,Indicates whether a payment is incoming or outgoing for a particular cost center
Journal Mnemonic,A unique alphanumeric code representing a specific journal entry in the system
Market Value,The current market value of a financial instrument or position
Mission Identifier,Unique identifier for each mission or project in the system
Maximum Amount of Failures,The highest amount of failed transactions or operations recorded in the system
Price,The price of a financial instrument or transaction
Pricing Currency,The currency used for pricing in financial transactions
Failure Count,Number of failures or errors occurring in a specific context
Repository Flag,Indicates whether a specific data record is associated with a repository
Failure Identifier,Unique identifier for each data integrity failure detected in the system
Job Run Identifier,Unique identifier for each job run in the system
Failure Source Code,A unique identifier for the source of a system failure
Failure Occurrence Date,Date when a system failure or issue was first detected
Transaction Timestamps,Records the date and time when each transaction occurred
General Ledger Account Codes,Unique alphanumeric identifiers for financial accounts in the general ledger system
General Ledger Account Description,A brief textual description of a specific financial account in the General Ledger system
General Ledger Account Level 2,Second-level categorization of financial accounts in the general ledger system
General Ledger Account Hierarchy,Hierarchical structure of account codes used for financial reporting and analysis
General Ledger Account Level 4,Fourth level of detail in the General Ledger account hierarchy
General Ledger Account Level,Hierarchical level of general ledger accounts used for financial reporting
General Ledger Account Level 6,Sixth level of detail in the General Ledger Account hierarchy
General Ledger Account Level 8,Eight levels of hierarchy in the General Ledger Account structure
GL Account Instance Identifier,Unique identifier for each General Ledger account in the system
General Ledger Account Identifier,Unique identifier for each account in the General Ledger system
IPB Free Cash Balances,"The available cash balance in the IPB (Integrated Portfolio Bank) system, denominated in the original currency"
Cash Management Flag,Indicates the cash management status of the account
Currency Balance Allocation,The allocation of currency balances for each currency held in the system
Feed Product Identifier,Unique identifier for each feed product in the system
Free Cash Flag,Indicator for the availability of free cash in the account
Excess Margin,The difference between the available cash balance and the required cash balance in a given cost center
Maximum Free Cash Balance,The highest amount of available cash in the account at any given time
Free Cash Balance,The available cash in the bank account after accounting for any outstanding debts or obligations
Free Cash Balance in IPB,The available cash balance in the IPB (Integrated Banking System) in the specified currency
Party Name,The name of the party associated with the free cash balance
Short Credit Exposure,The short credit exposure is the potential loss that a financial institution may incur due to a counterparty's failure to fulfill its contractual obligations in a credit transaction.
Free Cash Balance Origin,Identifies the source of the available cash balance in the system
Trading Name,The name of the legal entity associated with a specific account
Trading Name Identifier,Unique identifier for each trading name in the system
Index Set Default,Indicates whether the index set is the default set for the specific index
Index Constituent Timestamps,Timestamps indicating when an index constituent was added or removed from the index
Index CUSIP,Unique identifier for an index constituent in the financial market
Index Composition,"Description of the index constituents, which are the components of a stock index"
Index Eligibility,Indicates whether a specific security is eligible for inclusion in an index
Index Identifier,Unique identifier for each index in the system
Unique Identifier for Index Constituents,A unique identifier assigned to each index constituent in the system
Index Status,Indicates whether an index is set as the default index for a table
Index Creation Timestamps,Timestamps indicating when indexes were created in the system
Exception Signoff Indication,A flag indicating whether an exception has been signed off by a designated approver
Index List Presence,Indicates whether a specific index is part of the EBA (European Banking Authority) LCR (Liquidity Coverage Ratio) index list
LCR Index Indication,Indicates whether a specific index is subject to the Liquidity Coverage Ratio (LCR) regulation
Index Run Identifier,Unique identifier for each index run in the system
Accrued Interest to Date,The total interest accumulated on a security or investment up to a specific date
Amortization Date,The date on which the loan or investment is fully paid off
Amortization Delay,The number of days after the settlement date that the amortization of a security begins
Amortization Type,Type of amortization method applied to cash flows
Asset Identifier,Unique identifier for each asset in the Intellimatch Cash system
Asset Sub-Type Description,"A detailed description of the asset's sub-type, such as its characteristics or classification"
Asset Type Description,A detailed description of the asset type in the Intellimatch Cash system
Reporting Region,Geographical area for which reporting is done
Cash Balance,The amount of cash held in an account or investment
Broker-Dealer Account Identifier,Unique identifier for each broker-dealer account in the Intellimatch Cash system
Customer Lifetime Value (CLTV),Estimated revenue a customer will generate throughout their entire relationship with the company
Intellimatch Cash Identifier,Unique identifier for Intellimatch cash transactions
Intellimatch Cash Indicator,"An indicator related to the Intellimatch Cash process, which may be used to track the status or outcome of specific cash transactions"
Intellimatch Cash Instrument,The specific financial instrument being referenced in the Intellimatch Cash system
Intellimatch Cash Transaction Date,Date of the cash transaction recorded in the Intellimatch system
Intellimatch Cash Value,The value of the cash position in the Intellimatch system
Commitment Maximum,The maximum amount of funds that can be committed to a specific investment or trading decision
Commitment Limit,Maximum amount of funds committed to a specific investment or trading strategy
Intellimatch Cash Compliance,Indicates whether the cash transaction is conforming to the established rules and regulations
Conversion Ratio,The ratio used to convert cash flows in the Intellimatch Cash system
Credit Score,"A numerical representation of an individual's creditworthiness, calculated based on their credit history"
Deal Identifier,Unique identifier for each deal or transaction in the Intellimatch Cash system
Intellimatch Cash Default Setting,Indicates whether the Intellimatch Cash feature is set as the default option for cash transactions
Delinquency Status,Indicates the status of a loan or account with respect to delinquency
Disbursement Date,Date on which a payment is scheduled to be made
Country of Issue,Country where a financial instrument or security is issued
Deal Description,A brief description of a financial deal or transaction
Deal Name,The name of the deal or transaction in the Intellimatch Cash system
Deal Type,Type of financial deal or transaction in the Intellimatch Cash system
Intellimatch Cash Data Source,Identifies the source of data used by the Intellimatch Cash system
Effective Date,The date when a specific record or setting becomes active or takes effect
Extended Maturity Date,"The date when the investment matures, taking into account any extensions or rollovers"
Extended Maturity Indicator,A flag indicating if the maturity of a security has been extended
External CUSIP,Unique identifier for external securities in the Intellimatch Cash system
External Fid1 Identifier,Unique identifier for an external fid1 record related to the cash transaction
Unique Identifier for Cash Transactions,A unique alphanumeric identifier assigned to each cash transaction for identification and tracking purposes
Cash Matching Confidence,Confidence level of matching cash transactions in the system
Intellimatch Cash Equivalent,The cash equivalent value calculated by the Intellimatch system for a specific security
First Payment Date,Date when the first payment for a transaction is scheduled to occur
Unique Identifier for Intellimatch Cash,A unique alphanumeric identifier assigned to each Intellimatch Cash record
Funding Indicator,A flag indicating if an item is related to funding or not
Forward Start Bucket,A bucket representing the forward start leg of a swap transaction
Industry Classification Code,A unique identifier for the specific industry of a company or organization
Interest Rate Reference,The interest rate used as a reference for calculations in financial transactions
Interest Type,Type of interest rate applied to the cash holdings
Conformance Status,Indicates whether the Intellimatch Cash data adheres to the predefined rules and standards
Cash Transaction Indicator,Indicator for cash transactions in the Intellimatch Cash system
Home Equity Line of Credit Indicator,A boolean flag indicating if a customer has a Home Equity Line of Credit (HELOC) account
Structured Note Indicator,Indicates whether the financial instrument is a structured note or not
Lien Priority Position,The position of a lien in the hierarchy of claims against an asset
Loan Amount Funded,The total amount of funds provided as loans to customers
Loan Type,Type of loan being processed in the Intellimatch Cash system
Loan-to-Value Ratio,"The ratio of the total loan amount to the value of the collateral, expressed as a percentage"
Margin,"The difference between the market value of a security and its cost basis, or the difference between the sale price and the purchase price of a security"
Market Value of Assets,The current market value of assets held in the Intellimatch Cash system
Market Value Pending,The pending market value of the Intellimatch Cash transactions
Mortgage Lifecycle Stage,"Current stage of the mortgage process, such as application, approval, or funding"
Intellimatch Cash Adjustment Factor,A floating-point number used to adjust the cash positions in the Intellimatch system
Intellimatch Cash Factor,A floating-point number used to adjust the cash amount in the Intellimatch Cash system
Short Value,Short position value in the Intellimatch Cash trading book
Net Life Cap,The maximum amount of life that can be allocated to a position
Net Life Floor,The minimum net value that a position must not fall below during its life
Next Payment Date,Date when the next payment is due for the Intellimatch Cash instrument
Next Option Exercise Date,Date when the next option to exercise a financial contract will occur
Next Cash Settlement Date,The date on which the next cash settlement for a financial transaction will occur
Next Reset Date,The date when the Intellimatch Cash system will be reset or re-evaluated
Notional Exposure,The total nominal value of a financial instrument or transaction
Notional Pending Amount,The pending notional amount for transactions in the Intellimatch Cash system
Pending Notional Amount,The pending notional amount in US dollars for transactions that have not yet been processed
Notional Cash Value,Theoretical cash value of transactions in US Dollars
Notional Trading Exposure,The total nominal value of trading positions in cash instruments
Original Maturity Date,The original date on which a financial instrument is scheduled to be repaid or expire
Origination Date,Date when a financial transaction or deal was initiated
Origin Date,Date when the transaction or event was initiated
Par Value,"The face value of a financial instrument, usually used for bonds, which indicates the principal amount that will be repaid at maturity"
Payment Frequency,The frequency at which payments are made or received in a financial transaction
Annual Yield,"The annual yield of a financial instrument, expressed as a percentage"
Penalty Amount,The amount of penalty incurred for a specific transaction or situation
Loan Performance Indicator,A flag indicating whether a loan is performing or non-performing
Periodic Cash Cap,Maximum allowed cash balance for a specific period
Periodic Floor,A minimum value that must be reached by a variable during specific time intervals
Pledged Mortgage Indicator,A boolean flag indicating if a mortgage has been pledged as collateral for a loan
Security Price,The current market price of a security or financial instrument
Price Quote,The quoted price of a financial instrument or security
Property Occupancy,Indicates whether a property is occupied by an investor or not
Property Type,The type of property associated with a cash transaction
Purchase Status,Indicates the status of a purchase order or transaction
Cash Quantity,The amount of cash held in the Intellimatch Cash account
Interest Rate Index,Identifies the interest rate index used for the cash instrument
Rate Modification Date,Date when the interest rate of a financial instrument was last modified
Relationship Type,The type of relationship between financial instruments or entities
Reset Interval,Time duration between consecutive resets of the Intellimatch Cash system
Intellimatch Cash Job Identifier,Unique identifier for each Intellimatch Cash job run
Security Type,Type of security being matched in the Intellimatch Cash system
Service Fee Strip Indicator,Indicates whether the service fee has been stripped from the cash holdings
Short Code,A unique alphanumeric identifier used for identification and reference purposes
Spread Value,Difference between the bid and ask prices of a financial instrument
Intellimatch Cash Start Date,The date when the Intellimatch Cash process begins
Intellimatch Cash Status,"The current status of the Intellimatch Cash transaction, such as 'Issued' or 'Completed'"
Matching Status Description,A textual description of the matching status in the Intellimatch Cash system
Loan Status,Indicates the current status of a loan in the Intellimatch Cash system
Intellimatch Cash Sweep Bank Code,Unique identifier for the bank account associated with the Intellimatch Cash sweep function
Sweep Bank Name,The name of the bank account where excess cash is swept to
Transaction Identifier,Unique identifier for each transaction in the Intellimatch Cash system
Type of Debt Instrument,The type of debt instrument involved in the financial transactions
Unused Quantity,The remaining available quantity of a specific item or resource that has not been utilized or allocated
Cash Amount,The amount of cash in US Dollars represented as a floating-point number
USD Amount Individual Position,The US Dollar amount associated with a specific position in the Intellimatch Cash system
Initial US Dollar Amount,Initial US dollar amount for transactions in the Intellimatch Cash system
Security Identification Number,Unique identifier for financial instruments in the system
Default Coverage Setting,Indicates whether a default coverage setting is applied to a client
Timestamp of Data Entry,Records the exact time when a new entry or modification was made to the data
Client Information,Identification of clients covered by the financial institution
Trading Strategy,Code representing the trading strategy applied to a specific financial instrument
Internal Coverage Metric,The metric used to measure the performance of internal coverage
Maximum Internal Coverage,The highest possible limit for internal coverage in the system
Order Placement Entity Identifier,Unique identifier for the entity placing an order in the internal coverage system
Internal Coverage Quantity,The numerical representation of the degree or extent to which the financial institution's services or products are provided to its clients or within the organization
Internal Coverage Identifier,Unique identifier for each internal coverage report
Scenario,A specific situation or use case considered for analysis or planning purposes
Source of Internal Coverage,The origin or department within the organization providing coverage for internal activities
Source Type,Type of source related to the Internal Coverage
Application Usage,Indicates which applications are using the data in the system
Business Entity Type,Type of business entity involved in a financial transaction or operation
Internal Coverage Value,The current market value of the financial instruments covered internally by the firm
Portfolio Value,The total value of the financial portfolio managed by the company
Legacy SAP GL Account Mapping,Mapping between the legacy SAP General Ledger accounts and the new chart of accounts
Legacy SAP General Ledger Account,A unique identifier for an account in the legacy SAP General Ledger system
Legacy SAP GL Account Mapping Identifier,Unique identifier for each record in the Legacy SAP GL Account Mapping
Legacy SAP Account Mapping,Mapping of legacy SAP General Ledger accounts to the new system
Trading Partner,Entity with which the organization conducts business transactions
Business Unit Identifier,Unique identifier for each business unit within a legal entity
Country of Legal Entity,"The country where a legal entity, such as a company or organization, is registered or operates"
Legal Entity Timestamps,Records the date and time when a legal entity was added or modified in the system
UK Group Indicator,Indicates if a legal entity is part of the UK group of companies
Legal Entity Status,"The current operational status of a legal entity, such as active or inactive"
Entity Type,"The type of entity, such as a subsidiary or other legal entity, associated with the financial institution"
Legal Entity Maturity Date,"Date when a legal entity, such as a company, is expected to reach full maturity"
Parent Legal Entity,The legal entity that owns or controls another legal entity
Unique Party Identifier,A unique alphanumeric code assigned to identify each legal entity associated with the financial institution
Primary Division,The main division within a legal entity responsible for its operations
Applicant Entity,The entity applying for a Letter of Credit
Bank Letter of Credit Identifier,Unique identifier for each letter of credit issued by the bank
Bank Name,The name of the bank that is involved in the Letter of Credit transaction
Beneficiary Name,The name of the beneficiary (recipient) of the letter of credit
Letter of Credit Expiration Date,"The date on which the Letter of Credit expires, after which it is no longer valid"
Letter of Credit Creation Timestamp,The date and time when a Letter of Credit was created
Financial Instrument Type,Type of financial instrument related to Letters of Credit
Funding Purpose,The reason for which the funds are being requested in a Letter of Credit
Maximum Amount,The highest amount of money that can be guaranteed by a letter of credit
Letter of Credit Transaction ID,Unique identifier for each letter of credit transaction
Source of Letter of Credit,"Identifies the source of the Letter of Credit, which could be a specific cost center, business unit, or other entity within the organization"
Letter of Credit Start Date,Date when the Letter of Credit becomes active or effective
Accepted Currencies,List of currencies accepted for collateral in the Libra Exchange
Collateral Description,A detailed description of the collateral provided for the Libra Exchange
Collateral Entry Timestamp,The date and time when the collateral was entered into the Libra Exchange system
Unique Identifier for Collateral,A unique identifier assigned to each collateral run in the Libra Exchange
Unique Identifier for Collateral Table,A unique identifier assigned to each collateral record in the Libra Exchange database
Cash or Non-Cash Classification,Indicates whether the derivative is cash-based or non-cash-based
Closing Balance,The final balance of a financial instrument at the end of a trading day
Unique Identifier for Listed Derivatives,"A unique 51-character alphanumeric identifier for listed derivatives, used for identification and tracking purposes"
Derivative Expiration Date,"The date on which a derivative contract expires, determining the final settlement of the contract"
Listed Derivatives Timestamp,Date and time when a derivative contract was entered into the system
Feed Source,The source of data feed for listed derivatives
Trade Flow Indicator,Indicates whether a trade is a flow trade or not
Initial Margin for Listed Derivatives,The initial margin required for listed derivatives transactions
Market Value of Derivatives,The current market value of listed derivatives contracts
Maximum Amount for Listed Derivatives,The maximum amount of listed derivatives that can be traded in the market
Equity Balance,The balance of equity-related derivatives in the listed derivatives market
Listed Derivatives Quantity,The number of listed derivatives contracts
Derivative Unique Identifier,Unique identifier assigned to each derivative instrument in the listed derivatives market
US Dollar Amount,The amount of US Dollars associated with a financial derivative contract
Accounting Method,The method used for accounting purposes related to the Loan IQ system
Accrual Status,"Indicates the accrual status of a loan, which can be 'ACCR' (Accruing) or 'nan' (Not Applicable)"
All-In Interest Rate,"The total interest rate charged on a loan, including all fees and costs"
Loan Amortization Status,Indicates whether the loan is amortizing or not
Banking Book Identifier,Unique identifier for a specific banking book related to the loan
Loan IQ - Drawn Call Report,A report containing information about the status of loans in the Loan IQ system
Loan Repayment Type,"The type of cash flow associated with loan repayments, such as principal or interest"
Loan Classification,Categorization of loans based on specific criteria
Loan Deal Identifier,Unique identifier for each loan deal in the system
Loan IQ - Drawn Timestamps,Timestamps indicating when a loan was drawn or processed
Event Indicator,A flag indicating the occurrence of a specific event related to the loan
Loan Extension Option,Indicates whether a loan has an extension option available
Loan Purpose,"The specific reason or intent behind a loan, such as a term loan or a first lien"
Facility Credit Rating,Credit rating of a facility or project being financed by a loan
Federal Loan Eligibility,Indicates whether a loan is eligible for federal funding or not
Fixed Coupon Rate,The interest rate that remains constant throughout the loan term
Loan Funding Direction,Indicates whether funds are being drawn or returned for a loan
Fronting Amount,The amount of money provided by a fronting company in a loan transaction
Fronting Legal Entity,The legal entity responsible for providing a loan to the borrower
Funded Currency Code,Currency in which the loan has been funded
Internal Rating,Internal credit rating assigned by the financial institution to a loan
Loan Renewal Status,Indicates whether a loan is currently being renewed or not
Loan Modifier,An optional attribute used to track additional information related to a loan
Maximum Amount Drawn,The highest amount of funds that have been borrowed from a loan account
Original TAPS Account,The original account number associated with a loan in the Loan IQ system
Pledge Status,Indicates the status of a pledge associated with a loan
Pledge to Federal,Indicates whether the loan is backed by a federal guarantee
Loan Portfolio,A collection of loans grouped together for management and reporting purposes
Repayment Start Date,The date on which the loan repayment process begins
Repricing Date,Date when the loan's interest rate or terms may be adjusted
Loan Reset Frequency,The frequency at which the loan's interest rate or other terms may be reset
Loan Risk Type,"The type of risk associated with a loan, such as amortizing or non-amortizing loans"
SAP General Ledger Account,Identifies the specific financial account in the SAP system associated with the drawn loan
Secured Indicator,Indicates whether a loan is secured by collateral or not
