Feed Source Name,Feed Source EONID,Galaxy Resource Name,Source Short Name,Description,Primary Technology System Owner,Dev Mail Group,TAI Link,Relevant Link
RTM -- Portfolio Margin,5736,grn:/ms/pb/margin/RTM,RTM -- Portfolio Margin,"This system is used for calculating/managing client margin requirements. Allocations based on system usage mapping to the key cost centers benefiting. (PB, IPB, IED, PWM, GWM and listed derivatives)",Srinivas Nagulakonda,rtmdev,http://taisc.webfarm.ms.com/ui/#/asset/5736,http://taisc.webfarm.ms.com/ui/#/asset/5736
SafeMetrics,6866,grn:/ms/stp/settlements/safe/SafeMetrics,SafeMetrics,"An internally built system to record and report Settlements-related information. Including Fails, Exposure and Volume data.",Jayanta Datta,sett-reporting-squad,http://taisc.webfarm.ms.com/ui/#/asset/6866,
T3,6285,grn:/ms/seclending/repo/T3,T3,T3 is the global institutional securities secured financing front office trading system supporting the firm's secured funding and fixed income client financing desks using repo and repo style collateralised transactions. Used by trading staff and operations it provides full trade entry and lifecycle booking functions to support desk and client trading activities.,Ewan Wilcox,t3tech,http://taisc.webfarm.ms.com/ui/#/asset/6285,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
T3Collateral,7479,grn:/ms/seclending/collateral/T3Collateral,T3Collateral Optimizer,"T3Collateral is used for management of global FID and equity collateral for all bilateral, triparty and HIC funding transactions throughout the firm. It is also used to help BRM fund the firm on a daily basis.",Frigyes Pasztner,t3c-dev,http://taisc.webfarm.ms.com/ui/#/asset/7479,http://wiki.ms.com/twiki/cgi-bin/view/FinancingTechnology/T3C
TAPS_EUR,491,grn:/ms/company/controllers/wise/datasource/taps_eur,TAPS_EUR,,,,,
Temenos T24,6104,grn:/ms/pwm/TemenosT24,Temenos T24,"EON under review to confirm proper decommission treatment.T24 is a banking platform developed by a vendor, Temenos. Core functions within T24 are Product Creation, Order Management, Product Life Cycle and Settlement. T24 is integrated into existing Morgan Stanley systems through a set of inbound interfaces, including Client Account Data, Rates Data, Entitlements, and Payments, and outbound interfaces, including Journals, Positions, and Regulatory Reporting feeds.",,,http://taisc.webfarm.ms.com/ui/#/asset/6104,
Treasury Hub,12659,grn:/ms/stp/treasury/LiquidityManagement/TreasuryHub,TreasuryHub,"Treasury Hub serves to be the firm's definitive and golden source of Treasury data and metrics. Treasury Hub serves the firm's crucial needs such as

* Regulatory Liquidity Reporting ( LCR, NSFR )
* Firm's Liquidity Risk Management/ Internal Liquidity Stress Test (ILST)
* Global Liquidity Reserve
* Treasury Debt Portfolio Reporting and Analytics
* Net Interest Income Analytics
* Recovery & Resolution Financial Model


Business Stakeholders
* Corporate Treasury (Business Owner)
* Liquidity/Funding Controllers
* Liquidity Risk Management

Liquidity Hub system are accessed through Liquidity Risk UI (LR1) and Treasury Dashboard etc. and are access controlled via firm E3 system.
* All the entitlements are given at the E3 user group level and not at any individual user level.
* All the user groups are driven by LDAP groups (which are ACL enabled).",Ankur Sharma,tsyliq-dev,http://taisc.webfarm.ms.com/ui/#/asset/12659,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
Triton/Avalon,7337,grn:/ms/stp/treasury/Trades/Triton,Triton,"Trade booking system used by Corporate Treasury, Cash Management, and Controllers globally to support cash consolidation, short-term, long-term funding, and client money. Triton refers to a collection of server-side components which include: TritonMaster, ICPD, TritonDataGuardian, TritonBackbone, TritonReporting, TritonCPS, TPM, and Pallas. Avalon is the UI that is used to enter and manage the life-cycle of deals/trades",Lakshmi Ramachandran Peshion,tritondev,http://taisc.webfarm.ms.com/ui/#/asset/7337,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
Warforge,35810,grn:/ms/stp/treasury/debtmanagement/Warforge,,,,,,
Wire-D,36392,grn:/ms/pb/finance/Wire2,Wire-D,"The Wire System calculates interest on client's debit and credit balances as well as short interest on client's short positions. The system also handles client accrual/fee posting, and reporting to BU controllers. It receive balance/positions from Libra/LD Statements and its output goes to Libra/EGTS/PX.",Jerry Kong,wire,http://taisc.webfarm.ms.com/ui/#/asset/36392,
WISE Warehouse,52310,grn:/ms/company/controllers/wise/WISE_Warehouse,,,,,,
WISE/ODESSA,462,grn:/ms/company/controllers/wise/ODESSA-Application,WISE/Odessa,"Business Function
===========
ODESSA is a data extraction technology which allows IT systems and single users to receive data extracts from the warehouse on a predetermined schedule. This application is used by the Odessa maintenance team (odessa-dam) to create and maintain these data extract jobs. ODESSA Servrer (EON ID 484) represents the backend services that help service the odessa distribution

Components
========
This GRN contains the UI to create and maintain odessa extract jobs. In addition it contains the configuration data that define each of extract jobs.",,odessadev,http://taisc.webfarm.ms.com/ui/#/asset/462,http://odessa
WISE/WebServices,486,grn:/ms/company/controllers/wise/WISEAppInfrastructure/WebServices,,,,,,
